query_id,content_id,QuestionText,CorrectAnswerText,InCorrectAnswerText
99466_E,27284,"a wire can be bent in the form of a circle of radius 56 cm . if it is bent in the form of a square , then its area will be",7744,3444
93836_D,25858,a profit of rs . 700 is divided between x and y in the ratio of 1 / 2 : 1 / 3 . what is the difference between their profit shares ?,s . 140,s . 50
115120_B,31240,how long does a train 110 m long traveling at 60 kmph takes to cross a bridge of 290 m in length ?,24.00 sec,88.9 sec
104085_D,28450,the cash difference between the selling prices of an book at a profit of 4 % and 6 % is $ 3 . the ratio of the two selling prices is :,52 : 53,42 : 36
65734_E,18747,"a furniture dealer purchased a desk for $ 140 and then set the selling price equal to the purchase price plus a markup that was 30 % of the selling price . if the dealer sold the desk at the selling price , what was the amount of the dealer ' s gross profit from the purchase and the sale of the desk ?",$ 60,$ 100
73710_E,20770,"average of 10 matches is 32 , how many runs one should should score to increase his average by 3 runs .",a ) 65,e ) 88
66142_E,18851,"if length of rectangle is increased by 10 % , and breadth is decreased by 10 % . what will it effect on area of rectangle ?",1 % decrease,2 % decrease
30290_C,9779,"a pipe can empty 2 / 3 rd of a cistern in 12 mins . in 5 mins , what part of the cistern will be empty ?",5 / 18,4 / 9
58236_D,16848,convert 50 miles into yards ?,88000 yards,42560 yards
93609_B,25801,the two lines y = x and x = - 7 intersect on the coordinate plane . what is the value of the area of the figure formed by the intersecting lines and the x - axis ?,24.5,21.5
20345_D,7260,"along a yard 414 metres long , 24 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between two consecutive trees",18,11
40363_E,12326,what is the total number of d integers between 100 and 200 that are divisible by 3 ?,33,29
46609_A,13908,a 300 m long train crosses a platform in 39 sec while it crosses a signal pole in 24 sec . what is the length of the platform ?,187.5 m,389 m
110283_A,30019,"find the principal which yields a simple interest of rs . 20 and compound interest of rs . 21 in two years , at the same percent rate per annum ?",rs . 200,rs . 520
16692_E,6337,a third of arun â € ™ s marks in mathematics exceed a half of his marks in english by 15 . if he got 170 marks in two subjects together how many marks did he got in english ?,120,none of them
61843_C,17762,the cost of carpeting a room 15 meters long with a carpet 75 cm wide at 30 paisa per meter is rs . 36 . the breadth of the room is ?,6 meters,9 meters
3505_E,2999,"a rectangular grass field is 85 m * 55 m , it has a path of 2.5 m wide all round it on the outside . find the area of the path and the cost of constructing it at rs . 2 per sq m ?",1450,2691
112146_C,30490,"in the xy - coordinate system , if ( m , n ) and ( m 1 2 , n 1 k ) are two points on the line with the equation x 5 2 y 1 5 , then k 5",1,2
62946_A,18043,a thief goes away with a santro car at a speed of 45 kmph . the theft has been discovered after half an hour and the owner sets off in a bike at 50 kmph when will the owner over take the thief from the start ?,b ) 4,a ) 2
34495_C,10841,the difference between the local value and the face value of 7 in the numerical 32675149 is,69993,5149
99912_A,27398,"the speed at which a man can row a boat in still water is 6.5 kmph . if he rows downstream , where the speed of current is 2.5 kmph , what time will he take to cover 90 metres ?",36 seconds,90 seconds
32276_E,10281,"a telephone company needs to create a set of 3 - digit area codes . the company is entitled to use only digits 6 , 4 and 3 , which can be repeated . if the product of the digits in the area code must be even , how many different codes can be created ?",26,30
92820_D,25602,the difference between the place value and the face value of 4 in the numeral 854973 is,3996,6084
66281_A,18887,find the sum of all 2 digit numbers divisible by 3 .,1665,1565
104174_E,28472,"tickets to a certain concert sell for $ 20 each . the first 10 people to show up at the ticket booth received a 40 % discount , and the next 20 received a 15 % discount . if 45 people bought tickets to the concert , what was the total revenue from ticket sales ?",$ 760,$ 1
56123_D,16313,"in the johnsons ' monthly budget , the dollar amounts allocated to household expenses , food , and miscellaneous items are in the ratio 5 : 4 : 1 , respectively . if the total amount allocated to these 3 categories is $ 1800 , what is the amount allocated to food ?",$ 720,$ 450
38757_C,11921,"find the least multiple of 23 , which when divided by 1821 and 24 leaves remainders 710 and 13 respectively .",3013,3024
48164_A,14299,a number when divided by 342 gives a remainder 47 . when the same number is divided by 19 what would be the remainder ?,9,0
72769_B,20533,a fruit seller had some oranges . he sells 40 % oranges and still has 360 oranges . how many oranges he had originally ?,600,710
52297_C,15345,"a bag has 1 , 3 , 5 , 7 , 9,11 and 13 cm sticks . find the probability that they they will form a triangle if 3 sticks are drawn ?",13 / 35,1 / 2
106752_C,29125,"one - tenth of the students at a nursery school are 4 years old or older . if 20 students have not yet reached their third birthday , and a total of 50 students are not between 3 years old and 4 years old , how many children are in the nursery school ?",300,450
15504_C,6038,a man can row his boat with the stream at 16 km / h and against the stream in 6 km / h . the man ' s rate is ?,5 kmph,7 kmph
95031_B,26162,"the sides of a rectangular field are in the ratio 3 : 4 . if the area of the field is 8748 sq . m , the cost of fencing the field @ 25 paise per metre is",rs . 94.50,rs . 67.50
38847_E,11944,a man can row his boat with the stream at 22 km / h and against the stream in 10 km / h . the man ' s rate is ?,6 kmph,9 kmph
17153_E,6453,a train 180 m long is running with a speed of 60 km / hr . in what time will it pass a man who is running at 6 km / hr in the direction opposite to that in which the train is going ?,10,4
94720_C,26083,"if two dice are thrown together , the probability of getting a square number on both the dice is",1 / 12,1 / 4
74415_B,20948,"if 0.25 : x : : 2 : 6 , then x is equal to",0.75,0.25
22216_B,7732,"a watch was sold at a loss of 15 % . if it was sold for rs . 400 more , there would have been a gain of 5 % . what is the cost price ?",1600,2998
49009_E,14513,"the two lines y = x and x = - 7 intersect on the coordinate plane . if z represents the area of the figure formed by the intersecting lines and the x - axis , what is the side length of a cube whose surface area is equal to 6 z ?",7 / √ 2,( √ 2 ) / 3
114804_A,31160,"a bag contains 6 white marbles and 6 black marbles . if each of 6 girls and 6 boys randomly selects and keeps a marble , what is the probability that all of the girls select the same colored marble ?",1 / 462,1 / 35
88255_D,24447,two goods trains each 850 m long are running in opposite directions on parallel tracks . their speeds are 45 km / hr and 30 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,81.6 sec,18.3 sec
21449_D,7538,"a side of beef lost 20 percent of its weight in processing . if the side of beef weighed 640 pounds after processing , how many pounds did it weigh before processing ?",800,840
